order,url,name,description,star
1649853925-3716,https://github.com/search?l=Java&o=desc&p=27&q=in%3Adescription+%E5%BE%AE%E6%9C%8D%E5%8A%A1&s=stars&type=Repositories,lizhenliang/simple-microservice,微服务电商示例,30
1649853964-3851,https://github.com/search?l=Java&o=desc&p=13&q=in%3Adescription+%E5%BE%AE%E6%9C%8D%E5%8A%A1&s=stars&type=Repositories,lushtree-cn-honeyzhao/WeixinMultiPlatform,weixin-mp-java 基于Java，Spring，Maven实现的微信公众平台一整套代码，从前端Controller到后端的Dao的实现<br /> ============== 1.0.1 2013-1月更新: 支持上传下载…,161
1649853747-3091,https://github.com/search?l=Java&o=desc&p=89&q=in%3Adescription+%E5%BE%AE%E6%9C%8D%E5%8A%A1&s=stars&type=Repositories,msun1996/MicroDemo,"微服务及服务编排Demo，包括Dubbo,Thrift等RPC框架使、K8S服务编排及CICD持续部署流程使用说明",2
1649853854-3462,https://github.com/search?l=Java&o=desc&p=52&q=in%3Adescription+%E5%BE%AE%E6%9C%8D%E5%8A%A1&s=stars&type=Repositories,wenMN1994/my_blog,基于微服务框架的个人博客系统（SpringBoot 2.X+MyBatis+Redis+shiro+thymeleaf）,8
1649853797-3260,https://github.com/search?l=Java&o=desc&p=72&q=in%3Adescription+%E5%BE%AE%E6%9C%8D%E5%8A%A1&s=stars&type=Repositories,codingxin/springcloud-sell,慕课网实战课程-SpringCloud Finchley三版本(M2+RELEASE+SR2)微服务实战,4
1649853823-3352,https://github.com/search?l=Java&o=desc&p=63&q=in%3Adescription+%E5%BE%AE%E6%9C%8D%E5%8A%A1&s=stars&type=Repositories,wellzhi/springboot-snakerflow,采用springboot2.0.5+snakerflow2.4.0搭建工作流微服务项目，集成mybatis-plus，并对外提供了restful风格的接口。,5
1649853814-3328,https://github.com/search?l=Java&o=desc&p=66&q=in%3Adescription+%E5%BE%AE%E6%9C%8D%E5%8A%A1&s=stars&type=Repositories,xcbeyond/xcloud,微服务统一开放平台,4
1649853831-3388,https://github.com/search?l=Java&o=desc&p=60&q=in%3Adescription+%E5%BE%AE%E6%9C%8D%E5%8A%A1&s=stars&type=Repositories,uncarbon97/helio-generator,基于renren-generator改造适配的代码生成器，可一键生成单体or微服务版的前、后端代码，减少无谓的重复劳动,6
1649853947-3792,https://github.com/search?l=Java&o=desc&p=19&q=in%3Adescription+%E5%BE%AE%E6%9C%8D%E5%8A%A1&s=stars&type=Repositories,jszgz/questionare,"公测初期做的微信问卷小程序,现已关闭服务并下架。使用的API可能与当前不兼容。",64
1649853891-3591,https://github.com/search?l=Java&o=desc&p=39&q=in%3Adescription+%E5%BE%AE%E6%9C%8D%E5%8A%A1&s=stars&type=Repositories,ikeyit/ikeyit-services,"IKEYIT是一个开源的电商平台系统，支持多店铺，Java,Spring Boot,Mybatis,Spring Cloud Alibaba,前后端分类微服务构架，简单易上手。",14
1649853759-3132,https://github.com/search?l=Java&o=desc&p=85&q=in%3Adescription+%E5%BE%AE%E6%9C%8D%E5%8A%A1&s=stars&type=Repositories,startshineye/zyzx-study,java视频教程实战spring boot视频实战课程微服务后台及监控系统,3
1649853908-3655,https://github.com/search?l=Java&o=desc&p=33&q=in%3Adescription+%E5%BE%AE%E6%9C%8D%E5%8A%A1&s=stars&type=Repositories,fangdd-open/duo-graphql,Duo-GraphQL基于graphql-java的扩展，用于支持当前主流的多团队微服务敏捷开发模式,19
1649853993-3951,https://github.com/search?l=Java&o=desc&p=3&q=in%3Adescription+%E5%BE%AE%E6%9C%8D%E5%8A%A1&s=stars&type=Repositories,yinjihuan/spring-cloud,《Spring Cloud微服务-全栈技术与案例解析》和《Spring Cloud微服务 入门 实战与进阶》配套源码,1.7k
1649853891-3593,https://github.com/search?l=Java&o=desc&p=39&q=in%3Adescription+%E5%BE%AE%E6%9C%8D%E5%8A%A1&s=stars&type=Repositories,xcbeyond/micro-service,微服务系列知识,13
1649853747-3092,https://github.com/search?l=Java&o=desc&p=89&q=in%3Adescription+%E5%BE%AE%E6%9C%8D%E5%8A%A1&s=stars&type=Repositories,OnlyTiger/SpringCloudBook-master,《SpringCloud微服务实战》： 微服务构建SpringBoot、服务治理Eureka、客户端负载均衡Ribbon、服务容错保护Hustrix、声明式服务调用Feign、API网关服务Zuul、分布式配置中心Config、消息总…,2
