order,url,name,description,star
1649855841-4756,https://github.com/search?l=Java&o=desc&p=23&q=in%3Adescription+microservicios&s=stars&type=Repositories,crodriguez10/microservicios-backed,Curso de microservicios,null
1649855767-4499,https://github.com/search?l=Java&o=desc&p=49&q=in%3Adescription+microservicios&s=stars&type=Repositories,diegogustavomarquez/springcurso,Curso de microservicios para los pibes,null
1649855632-4019,https://github.com/search?l=Java&o=desc&p=97&q=in%3Adescription+microservicios&s=stars&type=Repositories,roxandreajc110/microservice-tienda-productos,Microservicio de productos,null
1649855643-4054,https://github.com/search?l=Java&o=desc&p=93&q=in%3Adescription+microservicios&s=stars&type=Repositories,kimmurielO/microservicio2,Microservicio con logs,null
1649855652-4082,https://github.com/search?l=Java&o=desc&p=90&q=in%3Adescription+microservicios&s=stars&type=Repositories,ddfdesign2018/ms-animals,Microservicio gesti車n de animales,null
1649855716-4312,https://github.com/search?l=Java&o=desc&p=67&q=in%3Adescription+microservicios&s=stars&type=Repositories,jacobohi/microservices-practice,practica de microservicios tutorial de youtube de Digital Lab Academy,null
1649855813-4659,https://github.com/search?l=Java&o=desc&p=33&q=in%3Adescription+microservicios&s=stars&type=Repositories,carwenblue/API-REST-con-Spring-Boot,Microservicios con Spring Boot,null
1649855694-4237,https://github.com/search?l=Java&o=desc&p=75&q=in%3Adescription+microservicios&s=stars&type=Repositories,jhassan8/sb-service-users,Probando arquitectura de microservicios utilizando springboot y spring cloud...,null
1649855883-4901,https://github.com/search?l=Java&o=desc&p=8&q=in%3Adescription+microservicios&s=stars&type=Repositories,Sucede/springboot-servicio-eureka-server,Microservicio Eureka Server Netflix,1
1649855637-4032,https://github.com/search?l=Java&o=desc&p=95&q=in%3Adescription+microservicios&s=stars&type=Repositories,EnriqueHS101/msClientCompany,Microservicio de Cliente Empresa,null
1649855736-4381,https://github.com/search?l=Java&o=desc&p=60&q=in%3Adescription+microservicios&s=stars&type=Repositories,dabliuw22/sb-microservice-store,Microservicio Store,null
