order,url,name,description,star
1649851748-2033,https://github.com/search?l=Java&o=desc&p=74&q=in%3Adescription+microservice&s=stars&type=Repositories,gschmutz/event-driven-microservices-demo,Demo for the presentation "Event-Driven Microservices with Apache Kafka",6
1649851834-2322,https://github.com/search?l=Java&o=desc&p=45&q=in%3Adescription+microservice&s=stars&type=Repositories,georgwittberger/openapi-contract-example,"Example project to demonstrate how to connect frontend, BFF and microservice via contract-first OpenAPI specification",15
1649851959-2769,https://github.com/search?l=Java&o=desc&p=1&q=in%3Adescription+microservice&s=stars&type=Repositories,microservices-patterns/ftgo-application,Example code for the book Microservice patterns,2.4k
1649851765-2099,https://github.com/search?l=Java&o=desc&p=68&q=in%3Adescription+microservice&s=stars&type=Repositories,OpenLiberty/guide-cdi-intro,An introductory guide on how to use Contexts and Dependency Injection to manage and inject dependencies into microser…,7
1649851882-2491,https://github.com/search?l=Java&o=desc&p=28&q=in%3Adescription+microservice&s=stars&type=Repositories,greenlearner01/microservices-projects-store,Microservices Store. List of microservices projects with step by step explanation of each and every component.,31
1649851684-1811,https://github.com/search?l=Java&o=desc&p=96&q=in%3Adescription+microservice&s=stars&type=Repositories,PJ-Oliveira/oferta,Microservice de Oferta,4
1649851757-2061,https://github.com/search?l=Java&o=desc&p=71&q=in%3Adescription+microservice&s=stars&type=Repositories,redhat-helloworld-msa/hello,Microservice using Java JAX-RS on EAP,6
1649851959-2768,https://github.com/search?l=Java&o=desc&p=1&q=in%3Adescription+microservice&s=stars&type=Repositories,oracle/helidon,Java libraries for writing microservices,2.6k
1649851956-2754,https://github.com/search?l=Java&o=desc&p=2&q=in%3Adescription+microservice&s=stars&type=Repositories,spotify/apollo,Java libraries for writing composable microservices,1.6k
1649851930-2663,https://github.com/search?l=Java&o=desc&p=11&q=in%3Adescription+microservice&s=stars&type=Repositories,piomin/sample-spring-microservices-advanced,More advanced samples of spring boot and spring cloud microservices showing usage of such tools like api Swagger2 on …,137
1649851893-2533,https://github.com/search?l=Java&o=desc&p=24&q=in%3Adescription+microservice&s=stars&type=Repositories,kbhattac/coolretailer,"Microservices with Istio, gRPC, Redis, BigQuery, Spring Boot, Spring Cloud and Stackdriver",39
1649851939-2693,https://github.com/search?l=Java&o=desc&p=8&q=in%3Adescription+microservice&s=stars&type=Repositories,vmudigal/microservices-sample,Sample project to create an application using microservices architecture,262
1649851930-2665,https://github.com/search?l=Java&o=desc&p=11&q=in%3Adescription+microservice&s=stars&type=Repositories,absolutegalaber/jwt-oauth2-example,Demo for OAuth2 JWT based authorziation / authentication for MicroServices,132
1649851874-2461,https://github.com/search?l=Java&o=desc&p=31&q=in%3Adescription+microservice&s=stars&type=Repositories,piomin/sample-camel-spring-boot,three samples in different branches that illustrates usage of apache camel as microservice framework providing integr…,27
1649851885-2500,https://github.com/search?l=Java&o=desc&p=27&q=in%3Adescription+microservice&s=stars&type=Repositories,carnellj/spmia-chapter4,Spring Microservices In Action Chapter 4,32
1649851736-1995,https://github.com/search?l=Java&o=desc&p=78&q=in%3Adescription+microservice&s=stars&type=Repositories,muhammet-mucahit/Shipping-Control-Service,?A Microservice checks the shipping process through communicating with other ones (@bundlenews challenge),6
1649851678-1799,https://github.com/search?l=Java&o=desc&p=98&q=in%3Adescription+microservice&s=stars&type=Repositories,servicecatalog/provisioning-service,Microservice for application deployment and lifecycle management on Kubernetes cluster,4
1649851899-2552,https://github.com/search?l=Java&o=desc&p=22&q=in%3Adescription+microservice&s=stars&type=Repositories,redis-developer/redis-microservices-demo,"Microservice application with various Redis use-cases with RediSearch, RedisGraph and Streams. The data are synchroni…",46
1649851783-2156,https://github.com/search?l=Java&o=desc&p=62&q=in%3Adescription+microservice&s=stars&type=Repositories,jamesfalkner/rhoar-examples,Examples of various microservice features across Red Hat Openshift Application Runtimes,8
1649851713-1910,https://github.com/search?l=Java&o=desc&p=86&q=in%3Adescription+microservice&s=stars&type=Repositories,cosminpopescu14/code-with-quarkus-profanity,Basic profanity checker microservice,5
1649851762-2089,https://github.com/search?l=Java&o=desc&p=69&q=in%3Adescription+microservice&s=stars&type=Repositories,SimpleProgramming/spring-cloud-services,A simple example explaining all spring cloud services for a microservice architecture,7
1649851925-2640,https://github.com/search?l=Java&o=desc&p=13&q=in%3Adescription+microservice&s=stars&type=Repositories,MichelliBrito/ms-email,Microservice para envio de email utilizando Spring Email e o servidor SMTP do Gmail.,111
1649851795-2193,https://github.com/search?l=Java&o=desc&p=58&q=in%3Adescription+microservice&s=stars&type=Repositories,oscuroweb/microservices-ml,Microservices with spring-boot and Machine Learning with Apache Spark ML,10
1649851828-2300,https://github.com/search?l=Java&o=desc&p=47&q=in%3Adescription+microservice&s=stars&type=Repositories,jonashackt/spring-boot-openapi-kong,Example project showing how to integrate Spring Boot microservices with Kong API Gateway,14
1649851868-2442,https://github.com/search?l=Java&o=desc&p=33&q=in%3Adescription+microservice&s=stars&type=Repositories,TristanPerry/java8-spring-cloud-microservice-demo,A Java 8 Spring Cloud scalable microservice demo,24
1649851919-2627,https://github.com/search?l=Java&o=desc&p=15&q=in%3Adescription+microservice&s=stars&type=Repositories,tanerdiler/spring-boot-microservice-eureka-zuul-docker-gateway-kubernetes,"Spring Boot rest microservices using Kubernetes, ConfigMap, Eureka, Zuul / Spring Boot Gateway, Docker. Monitoring wi…",81
1649851916-2618,https://github.com/search?l=Java&o=desc&p=16&q=in%3Adescription+microservice&s=stars&type=Repositories,benwilcock/spring-cloud-stream-demo,Simple Event Driven Microservices with Spring Cloud Stream,72
1649851950-2735,https://github.com/search?l=Java&o=desc&p=4&q=in%3Adescription+microservice&s=stars&type=Repositories,Sixt/ja-micro,Lightweight framework for building java microservices,626
1649851919-2622,https://github.com/search?l=Java&o=desc&p=15&q=in%3Adescription+microservice&s=stars&type=Repositories,HaydiKodlayalim/microservice-app,Youtube Microservice Video Serie Application Repository,87
1649851947-2725,https://github.com/search?l=Java&o=desc&p=5&q=in%3Adescription+microservice&s=stars&type=Repositories,keets2012/microservice-integration,"microservice-integration with auth, gateway and backend.",489
1649851765-2095,https://github.com/search?l=Java&o=desc&p=68&q=in%3Adescription+microservice&s=stars&type=Repositories,EgorRepnikov/artaeum,Polyglot Microservice Social Network,7
1649851724-1950,https://github.com/search?l=Java&o=desc&p=82&q=in%3Adescription+microservice&s=stars&type=Repositories,javaguru/tcloud-microservices,Java Cloud Microservices,5
1649851774-2129,https://github.com/search?l=Java&o=desc&p=65&q=in%3Adescription+microservice&s=stars&type=Repositories,birelian/spring-cloud-microservices,A PoC of Spring Cloud Netflix microservices,8
1649851825-2299,https://github.com/search?l=Java&o=desc&p=48&q=in%3Adescription+microservice&s=stars&type=Repositories,ripla/vaadin-microservices-example,Example setup for a scalable microservice architecture with a Vaadin UI. Cloud deployment included.,13
1649851854-2398,https://github.com/search?l=Java&o=desc&p=38&q=in%3Adescription+microservice&s=stars&type=Repositories,open-hand/choerodon-oauth,This service is the authorized authentication center of the choerodon microservices framework and is mainly responsib…,19
1649851905-2570,https://github.com/search?l=Java&o=desc&p=20&q=in%3Adescription+microservice&s=stars&type=Repositories,PacktPublishing/Mastering-Microservices-with-Java-Third-Edition,"Mastering Microservices with Java – Third Edition, published by Packt",50
1649851736-1996,https://github.com/search?l=Java&o=desc&p=78&q=in%3Adescription+microservice&s=stars&type=Repositories,kmandalas/spring-cloud-component-tests,Codebase for the article post https://dzone.com/articles/Component-Tests-for-Spring-Cloud-Microservices,6
1649851777-2130,https://github.com/search?l=Java&o=desc&p=64&q=in%3Adescription+microservice&s=stars&type=Repositories,jaschenk/Your-Microservice,Your Microservice -- Spring Boot capability to allow enabling of a Microservice @EnableYourMicroservice Annotation to…,8
1649851808-2230,https://github.com/search?l=Java&o=desc&p=54&q=in%3Adescription+microservice&s=stars&type=Repositories,joshlong/qcon2015-sao-paolo-microservices-workshop,this is the code for the workshop i'm presenting at QCon Sao Paolo introducing how to develop modern microservices,11
1649851868-2441,https://github.com/search?l=Java&o=desc&p=33&q=in%3Adescription+microservice&s=stars&type=Repositories,arun0009/ocr-tess4j-rest,"OCR Tess4J - Java, Spring Boot Microservice, Optional MongoDB, gradle build",24
1649851902-2568,https://github.com/search?l=Java&o=desc&p=21&q=in%3Adescription+microservice&s=stars&type=Repositories,stevenalexander/docker-authentication-authorisation,Example microservice authentication and authorisation solution using Docker containers,46
1649851675-1785,https://github.com/search?l=Java&o=desc&p=99&q=in%3Adescription+microservice&s=stars&type=Repositories,raonigabriel/spark-qrcode-example,A small SparkFramework-based microservice to generated qrcode images.,4
1649851684-1810,https://github.com/search?l=Java&o=desc&p=96&q=in%3Adescription+microservice&s=stars&type=Repositories,michelcojocaru/MasterProject,Microservices Validation framework,4
1649851699-1860,https://github.com/search?l=Java&o=desc&p=91&q=in%3Adescription+microservice&s=stars&type=Repositories,Harunosakura/microservices,Microservices samples communicating with each other,4
1649851865-2435,https://github.com/search?l=Java&o=desc&p=34&q=in%3Adescription+microservice&s=stars&type=Repositories,danveloper/s1p-high-perf-microservices,Code from "High Performance Microservices with Ratpack + Spring Boot" - Spring One Platform 2016,23
1649851871-2451,https://github.com/search?l=Java&o=desc&p=32&q=in%3Adescription+microservice&s=stars&type=Repositories,thomasletsch/moserp,Microservices based Open Source ERP System,25
1649851675-1784,https://github.com/search?l=Java&o=desc&p=99&q=in%3Adescription+microservice&s=stars&type=Repositories,smartcat-labs/microservices-with-kafka,"Event driven microservices using Java, Apache Kafka and Spring Boot",4
1649851805-2228,https://github.com/search?l=Java&o=desc&p=55&q=in%3Adescription+microservice&s=stars&type=Repositories,daggerok/spring-boot-twitter,this repo demonstrate CQRS data transfer in REST API and messaging microservices. it’s containing (async RabbitMQ mes…,11
